DATE,MIN_SWC,mean_SWC,MAX_SWC
2003-01-01,29.9,34.425,38.8
2003-01-02,30.1,34.475,38.8
2003-01-03,30.1,34.45,38.7
2003-01-04,30.3,34.5,38.7
2003-01-05,30.3,34.525,38.8
2003-01-06,30.3,34.525,38.8
2003-01-07,30.3,34.525,38.8
2003-01-08,30.4,34.575,38.8
2003-01-09,30.3,34.525,38.8
2003-01-10,30.3,34.525,38.8
2003-01-11,29.4,34.3,38.8
2003-01-12,26.8,33.1,38.1
2003-01-13,26.4,32.75,37.8
2003-01-14,25.0,31.95,37.2
2003-01-15,22.3,30.35,36.0
2003-01-16,21.3,29.799999999999997,35.6
2003-01-17,21.2,29.6,35.4
2003-01-18,20.9,29.375,35.2
2003-01-19,20.7,29.225,35.1
2003-01-20,21.7,29.575,35.3
2003-01-21,20.9,29.199999999999996,35.1
2003-01-22,19.3,28.225,34.5
2003-01-23,18.3,27.5,33.9
2003-01-24,18.1,27.2,33.8
2003-01-25,18.1,27.075000000000003,33.9
2003-01-26,17.9,26.724999999999998,33.8
2003-01-27,17.7,26.3,33.7
2003-01-28,18.0,26.375,33.8
2003-01-29,18.4,26.675,34.0
2003-01-30,18.6,26.875,34.1
2003-01-31,18.9,27.2,34.2
2003-02-01,19.8,27.775000000000002,34.5
2003-02-02,20.8,28.35,34.7
2003-02-03,22.6,29.125,35.0
2003-02-04,24.2,29.650000000000002,35.2
2003-02-05,24.8,29.900000000000002,35.3
2003-02-06,24.0,29.574999999999996,35.1
2003-02-07,21.4,27.9,33.6
2003-02-08,19.7,27.225,33.5
2003-02-09,19.5,27.125,33.6
2003-02-10,19.2,26.875,33.5
2003-02-11,18.7,26.4,33.3
2003-02-12,18.6,26.15,33.3
2003-02-13,18.9,26.225,33.4
2003-02-14,18.9,27.125,34.0
2003-02-15,22.5,30.075,35.2
2003-02-16,22.8,29.45,35.0
2003-02-17,23.5,29.625,35.1
2003-02-18,24.9,30.825,35.5
2003-02-19,26.4,31.974999999999998,36.3
2003-02-20,28.9,33.425,36.6
2003-02-21,30.3,34.099999999999994,36.7
2003-02-22,29.1,32.8,36.4
2003-02-23,27.1,32.075,36.1
2003-02-24,23.5,30.15,34.6
2003-02-25,20.5,27.775,33.4
2003-02-26,18.0,26.0,32.8
2003-02-27,18.0,25.325000000000003,32.4
2003-02-28,18.0,25.075000000000003,32.4
2003-03-01,18.4,25.25,32.6
2003-03-02,18.2,25.174999999999997,32.6
2003-03-03,17.9,24.9,32.4
2003-03-04,18.0,24.875,32.4
2003-03-05,17.7,24.375,32.1
2003-03-06,17.7,25.549999999999997,34.1
2003-03-07,17.9,25.775,35.6
2003-03-08,17.9,24.45,32.3
2003-03-09,17.3,23.75,31.6
2003-03-10,17.3,23.450000000000003,31.5
2003-03-11,17.5,23.575000000000003,32.2
2003-03-12,18.0,25.425,38.6
2003-03-13,19.3,26.800000000000004,39.4
2003-03-14,23.5,32.35,41.1
2003-03-15,29.3,35.825,43.5
2003-03-16,26.6,32.025,36.1
2003-03-17,30.5,32.5,35.1
2003-03-18,30.6,32.35,35.4
2003-03-19,31.1,32.949999999999996,36.1
2003-03-20,34.2,36.3,37.6
2003-03-21,33.3,35.025,38.2
2003-03-22,33.3,35.45,38.9
2003-03-23,33.0,35.225,38.8
2003-03-24,32.7,34.575,38.8
2003-03-25,32.5,34.325,38.8
2003-03-26,32.4,34.25,38.8
2003-03-27,33.1,34.75,39.2
2003-03-28,32.0,33.85,38.4
2003-03-29,31.7,33.699999999999996,38.4
2003-03-30,31.5,33.575,38.3
2003-03-31,31.5,33.525000000000006,38.3
2003-04-01,31.5,33.475,38.2
2003-04-02,31.4,33.425,38.2
2003-04-03,31.3,33.35,38.2
2003-04-04,32.4,34.275,38.6
2003-04-05,32.5,34.325,38.6
2003-04-06,32.5,34.5,39.2
2003-04-07,34.1,36.425,42.0
2003-04-08,36.3,38.0,40.9
2003-04-09,36.0,37.449999999999996,39.1
2003-04-10,33.8,35.75,38.9
2003-04-11,33.0,35.175,38.8
2003-04-12,32.6,34.525,38.7
2003-04-13,32.4,34.199999999999996,38.6
2003-04-14,32.3,34.075,38.6
2003-04-15,27.1,29.925,37.5
2003-04-16,33.5,35.05,39.3
2003-04-17,33.4,34.925,39.3
2003-04-18,33.3,34.8,39.2
2003-04-19,33.2,34.75,39.2
2003-04-20,33.2,34.725,39.2
2003-04-21,33.2,34.725,39.2
2003-04-22,33.2,34.725,39.2
2003-04-23,33.2,34.7,39.2
2003-04-24,33.3,35.0,39.3
2003-04-25,33.3,35.025,39.3
2003-04-26,33.3,34.974999999999994,39.3
2003-04-27,33.3,34.974999999999994,39.3
2003-04-28,33.3,35.0,39.3
2003-04-29,36.0,37.650000000000006,40.7
2003-04-30,35.4,36.974999999999994,39.8
2003-05-01,34.4,36.025000000000006,39.7
2003-05-02,34.0,35.699999999999996,39.6
2003-05-03,33.8,35.5,39.5
2003-05-04,37.9,39.0,41.1
2003-05-05,36.7,38.3,40.0
2003-05-06,37.8,38.6,40.5
2003-05-07,36.3,37.474999999999994,40.0
2003-05-08,37.7,38.925,41.3
2003-05-09,37.1,38.55,40.2
2003-05-10,36.5,37.575,40.0
2003-05-11,35.6,36.975,40.0
2003-05-12,35.1,36.575,39.8
2003-05-13,34.9,36.45,39.8
2003-05-14,32.3,35.5,39.8
2003-05-15,32.3,35.4,39.7
2003-05-16,25.7,28.224999999999998,33.8
2003-05-17,28.4,34.375,39.9
2003-05-18,27.1,34.324999999999996,40.0
2003-05-19,28.3,36.724999999999994,41.0
2003-05-20,28.8,36.724999999999994,41.0
2003-05-21,28.3,36.275,40.9
2003-05-22,30.6,36.650000000000006,40.8
2003-05-23,33.1,37.224999999999994,40.7
2003-05-24,36.4,37.949999999999996,40.6
2003-05-25,36.4,37.949999999999996,40.6
2003-05-26,36.4,37.949999999999996,40.6
2003-05-27,36.3,37.849999999999994,40.5
2003-05-28,36.3,37.825,40.5
2003-05-29,36.3,37.849999999999994,40.5
2003-05-30,36.3,37.825,40.5
2003-05-31,36.3,37.75,40.4
2003-06-01,36.2,37.65,40.4
2003-06-02,36.4,38.325,40.6
2003-06-03,36.6,38.474999999999994,40.6
2003-06-04,36.6,38.3,40.6
2003-06-05,36.6,38.4,40.6
2003-06-06,36.7,38.65,40.6
2003-06-07,37.2,39.1,40.8
2003-06-08,37.2,38.875,40.8
2003-06-09,36.8,38.5,40.7
2003-06-10,36.8,38.5,40.7
2003-06-11,36.7,38.35,40.6
2003-06-12,36.7,38.475,40.6
2003-06-13,36.8,38.725,40.7
2003-06-14,36.7,38.400000000000006,40.6
2003-06-15,36.6,38.199999999999996,40.5
2003-06-16,36.5,38.075,40.5
2003-06-17,36.5,37.95,40.4
2003-06-18,37.1,38.825,40.7
2003-06-19,37.6,39.474999999999994,41.0
2003-06-20,37.0,38.525000000000006,40.7
2003-06-21,36.8,38.225,40.6
2003-06-22,36.7,38.075,40.5
2003-06-23,36.6,37.975,40.5
2003-06-24,36.5,37.85,40.5
2003-06-25,36.2,37.7,40.4
2003-06-26,35.3,37.4,40.4
2003-06-27,33.8,36.875,40.2
2003-06-28,32.5,36.3,40.0
2003-06-29,31.4,35.625,39.6
2003-06-30,29.9,34.525000000000006,38.7
2003-07-01,28.2,33.150000000000006,37.7
2003-07-02,26.9,32.125,37.1
2003-07-03,30.4,33.974999999999994,37.8
2003-07-04,30.4,33.95,38.0
2003-07-05,28.6,32.925000000000004,37.4
2003-07-06,31.9,35.0,38.4
2003-07-07,29.3,33.275,37.6
2003-07-08,27.7,32.375,37.2
2003-07-09,28.2,32.2,37.0
2003-07-10,27.3,31.825000000000003,36.9
2003-07-11,27.2,31.575,36.8
2003-07-12,26.9,31.45,36.7
2003-07-13,30.6,33.9,38.1
2003-07-14,28.0,32.275,37.3
2003-07-15,26.6,31.35,36.9
2003-07-16,29.4,32.575,36.8
2003-07-17,28.7,32.125,36.8
2003-07-18,27.0,31.374999999999996,36.8
2003-07-19,26.7,31.2,36.7
2003-07-20,31.0,33.175,36.8
2003-07-21,29.1,32.25,36.8
2003-07-22,27.6,31.599999999999998,36.7
2003-07-23,26.4,31.0,36.6
2003-07-24,25.5,30.5,36.5
2003-07-25,28.9,32.05,36.5
2003-07-26,27.2,31.174999999999997,36.6
2003-07-27,26.2,30.7,36.5
2003-07-28,25.6,30.424999999999997,36.5
2003-07-29,24.8,29.975,36.4
2003-07-30,25.0,29.925,36.3
2003-07-31,33.2,34.75,38.3
2003-08-01,31.1,33.625,38.2
2003-08-02,30.4,32.825,37.3
2003-08-03,27.2,31.200000000000003,36.9
2003-08-04,25.5,30.275,36.6
2003-08-05,24.9,29.875,36.5
2003-08-06,24.6,29.575000000000003,36.4
2003-08-07,24.4,29.375,36.3
2003-08-08,31.5,33.775,38.0
2003-08-09,31.5,33.775,38.0
2003-08-10,26.4,30.974999999999998,37.2
2003-08-11,26.5,30.9,36.9
2003-08-12,32.4,34.65,38.8
2003-08-13,30.1,33.25,38.4
2003-08-14,28.1,32.0,37.7
2003-08-15,26.3,30.875,37.1
2003-08-16,24.8,29.925,36.8
2003-08-17,23.9,29.125,36.5
2003-08-18,24.4,28.925,36.3
2003-08-19,34.6,36.025000000000006,39.0
2003-08-20,34.6,36.225,39.6
2003-08-21,32.4,34.65,39.1
2003-08-22,30.5,33.375,38.5
2003-08-23,28.6,32.125,37.9
2003-08-24,26.9,30.925,37.3
2003-08-25,25.4,29.950000000000003,36.9
2003-08-26,24.5,29.15,36.5
2003-08-27,23.9,28.575,36.3
2003-08-28,23.5,28.0,36.1
