date,Rn,theta_6,theta_mean,sw_out,theta_14,TA_PI_F_1_2_1,H_1_1_1,theta_8,theta_3,theta_15,wd,WS_2_1_1,WS_1_1_1,theta_16,theta_4,theta_9,TA_PI_F_1_1_1,P_PI_F_1_1_1,theta_5,theta_2,ws,LE_PI_F_1_1_1,theta_1,TA_PI_F_1_4_1,WS_1_3_1,theta_13,H,theta_11,G,TA_PI_F_1_3_1,RH_PI_F_1_3_1,WS_1_2_1,theta_12,LE_1_1_1,t_avg,LE,P_PI_F_2_2_1,RH_PI_F_1_1_1,rh,sw_in,RH_PI_F_1_2_1,RH_PI_F_1_4_1,lw_out,theta_7,theta_10,lw_in,H_PI_F_1_1_1,t_min,t_max,G_subday_gaps,H_subday_gaps,ppt,Rn_subday_gaps,LE_subday_gaps,rso,flux,energy,ebc_cf,H_corr,ebr_corr,LE_corr,flux_corr,ebr,ebr_5day_clim,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val,year
2004-01-01,22.72500000000001,42.68750000000002,38.47682291666669,25.84583333333333,,3.231666666666667,11.458333333333336,46.66666666666668,21.570833333333336,,200.29166666666663,2.3545833333333337,,,43.29999999999998,37.94583333333333,3.8008333333333337,0.0,42.245833333333344,42.558333333333344,2.5022222222222226,7.416666666666668,31.91249999999999,1.0008333333333328,2.3525000000000005,,10.49375,36.93333333333332,-1.6874999999999991,2.34625,70.6125,2.7995833333333326,44.5375,,2.594895833333333,7.997916666666666,0.0,68.52083333333333,70.66041666666669,105.47083333333336,69.72083333333335,73.78750000000002,315.6791666666666,30.824999999999992,40.5375,258.7833333333333,9.529166666666669,-4.635,12.885,0.0,0.0,0.0,0.0,0.0,114.91192521299072,18.491666666666667,24.41250000000001,1.209540748130199,12.692618225691277,0.8267600752978987,9.673806108482983,22.366424334174265,0.7574671445639185,0.8640499783957121,0.2769759723645842,0.3350137248279485,2.2,1.3000001,0.0,0.2577028454289722,0.3916628027610836,0.5091616827556891,False,,2004
2004-01-02,22.191666666666663,42.68750000000002,38.45164930555557,20.35,,5.295416666666667,-2.2416666666666685,46.67916666666668,21.5,,223.375,3.306666666666667,,,43.30833333333332,37.89583333333332,5.589583333333333,0.0,42.22916666666666,42.520833333333336,3.4630555555555564,12.358333333333334,31.925,4.574583333333333,3.240416666666667,,-1.7875,36.89166666666665,2.8833333333333333,5.113333333333332,70.03333333333332,3.842083333333333,44.54166666666666,,5.143229166666667,12.358333333333334,0.0,69.30416666666667,70.36874999999998,91.5375,70.17500000000001,71.96249999999998,330.0875000000001,30.80833333333333,40.43333333333332,281.09583333333336,-1.3333333333333357,-1.35,16.9,0.0,0.0,0.0,0.0,0.0,115.39933605870866,10.570833333333336,19.308333333333326,1.1878348566025847,-2.1232548061771204,0.8418678694613954,14.679659102846944,12.556404296669823,0.5474751834268453,0.8712895597434673,0.4290162393361599,0.5096004431320477,2.5,1.5,0.0,0.3397336287546984,0.3752425915178708,0.5628638872768063,False,,2004
2004-01-03,1.7250000000000003,42.625000000000014,38.399392361111104,2.6750000000000003,,-5.846250000000001,14.225,46.70833333333335,21.449999999999992,,87.41666666666669,5.151666666666666,,,43.29999999999998,37.77500000000001,-5.815,0.0,42.15416666666668,42.5,5.326249999999999,13.095833333333331,31.795833333333345,-5.609583333333332,5.151666666666666,,14.225,36.899999999999984,-10.854166666666664,-5.6120833333333335,66.21249999999999,5.675416666666668,44.52083333333334,,-5.720729166666667,13.095833333333331,0.0,68.07916666666668,67.37708333333335,14.479166666666671,67.75000000000001,67.46666666666667,286.31666666666666,30.72500000000001,40.33749999999998,276.225,14.225,-6.8125,-1.695,0.0,0.0,0.0,0.0,0.0,115.92608609962664,27.32083333333333,12.579166666666666,1.1878348566025847,16.89695083517177,0.8418678694613954,15.555687309591349,32.452638144763114,2.171911228883737,0.8752282612353092,0.4499809152609376,0.5345030159528755,2.0,1.3000001,1.4,0.4111561344902016,0.3903488845403981,0.5074535889374061,False,,2004
2004-01-04,11.208333333333329,42.525,38.33619791666669,43.76666666666667,,-10.33625,,46.725,21.38333333333333,,181.66666666666663,6.092500000000001,,,43.29999999999998,37.64166666666668,-10.293749999999998,0.0,42.058333333333344,42.44583333333333,6.280694444444446,9.629166666666666,31.67916666666668,-10.117083333333332,6.092500000000001,,5.831250000000002,36.904166666666654,-5.2125,-10.067083333333334,89.03749999999998,6.657083333333333,44.50416666666666,,-10.203541666666666,9.366666666666664,0.0,92.42083333333336,90.84895833333331,61.14166666666665,91.8375,90.1,267.11249999999995,30.645833333333343,40.22500000000002,260.94583333333327,6.445833333333333,-11.86,-7.625,0.0,0.0,0.0,0.0,0.0,116.49208332944836,15.197916666666664,16.420833333333327,1.1787102554212554,6.873354176925196,0.8483849151228546,11.040586059112425,17.91394023603762,0.925526516112662,0.8784728637562857,0.3204954357752107,0.3777712569639452,0.90000004,0.6,4.8,0.6296187616065754,0.4128912551577476,0.2477347530946485,False,,2004
2004-01-05,-23.8,42.4875,38.29600694444444,72.71249999999998,,-18.345416666666665,-16.61666666666667,46.725000000000016,21.304166666666674,,318.75,4.453333333333334,,,43.29583333333331,37.59166666666668,-18.081250000000004,0.0,42.025,42.42499999999999,4.543888888888889,2.583333333333332,31.566666666666677,-19.009999999999994,4.138749999999999,,-16.539583333333336,36.90833333333333,-3.925000000000001,-18.48875,72.66249999999998,5.039583333333333,44.5125,,-18.481354166666662,2.433333333333333,0.0,74.59166666666667,73.93333333333331,102.6583333333333,74.28333333333335,74.19583333333334,225.01666666666665,30.566666666666677,40.14166666666668,171.26250000000005,-16.462500000000002,-22.695,-13.2125,0.0,0.0,0.0,0.0,0.0,117.09722639331709,-14.106250000000005,-19.875,1.2505197363035692,-20.68307538857091,0.7996675070126569,3.0429313583386843,-17.64014403023223,0.7097484276729562,0.8797289313559219,0.082620903664078,0.1033190706631654,0.7,0.4,0.0,0.2582976766579135,0.4792334535496686,0.1916933814198674,False,,2004
2004-01-06,-21.87083333333333,42.45416666666666,38.20685763888887,81.32499999999997,,-16.531666666666666,,46.73750000000001,21.220833333333328,,235.5833333333333,2.71125,,,43.27916666666665,37.516666666666666,-15.928333333333336,0.0,41.99166666666667,42.399999999999984,2.8661111111111097,4.075,30.92083333333333,-19.30583333333333,2.71125,,-9.291666666666668,36.89166666666665,-4.124999999999999,-17.3875,67.7625,3.1758333333333333,44.52916666666666,,-17.288333333333334,4.083333333333333,0.0,66.98333333333333,67.95937500000001,121.04166666666664,67.92500000000001,69.16666666666667,225.25,30.508333333333336,40.03333333333333,163.6625,-10.108333333333336,-22.68,-8.66,0.0,0.0,0.0,0.0,0.0,117.74140427050274,-5.208333333333335,-17.745833333333334,1.2505197363035692,-11.619412549820662,0.7996675070126569,5.106288923239573,-6.5131236265810895,0.2934961258511388,0.8810022501104217,0.1387983065685997,0.1735700217295472,0.6,0.4,0.0,0.4339250543238682,0.512001320318099,0.2048005281272396,False,,2004
2004-01-07,3.2166666666666672,42.41666666666665,38.004861111111104,58.54166666666668,,-10.825000000000005,-5.362500000000002,46.76666666666666,21.17083333333333,,146.66666666666666,2.2270833333333337,,,43.28333333333333,37.41249999999999,-10.16375,0.0,41.94999999999999,42.37916666666665,2.378055555555556,5.416666666666668,28.874999999999982,-12.705416666666665,2.2270833333333337,,-3.910416666666668,36.82916666666665,-3.845833333333335,-11.687916666666668,80.55833333333334,2.68,44.53333333333333,4.816666666666666,-11.345520833333332,5.116666666666667,0.0,79.84166666666668,80.71979166666667,89.6916666666667,81.12916666666669,81.35,256.96666666666664,30.5,39.93333333333332,229.0291666666666,-2.458333333333333,-22.9775,-3.0075,0.0,0.0,0.0,0.0,0.0,118.42449594532876,1.2062499999999994,7.062500000000003,1.2803717686859233,-5.006787103798914,0.7810231562871184,6.551235549776308,1.5444484459773946,0.170796460176991,0.8809608422719357,0.1748881687438421,0.2239218739367954,0.7,0.4,0.0,0.5598046848419885,0.5178253670258471,0.2071301468103388,False,,2004
2004-01-08,12.666666666666664,42.37916666666665,37.90616319444444,55.24583333333333,,-4.1800000000000015,3.6666666666666674,46.73750000000002,21.091666666666672,,165.33333333333334,2.672916666666667,,,43.27916666666665,37.34166666666665,-4.08125,0.0211666666666666,41.87083333333332,42.34583333333332,2.768611111111112,6.641666666666667,28.3125,-4.476666666666667,2.66375,,3.793750000000001,36.80416666666665,-2.7458333333333336,-4.227083333333333,86.32916666666667,2.9691666666666667,44.49166666666667,,-4.24125,6.556249999999999,0.0105833333333333,88.36250000000003,87.49791666666665,93.66666666666664,88.30416666666666,86.99583333333334,288.68750000000006,30.474999999999994,39.74583333333333,262.9375,3.920833333333334,-9.27,0.0125,0.0,0.0,0.381,0.0,0.0,119.1463700681693,10.35,15.4125,1.2803717686859233,4.857410397452223,0.7810231562871184,8.394437408447082,13.251847805899306,0.6715328467153284,0.8792608324570449,0.2255901768010789,0.2888392936689677,0.6,0.4,0.0,0.7220982341724191,0.4885869397662018,0.1954347759064807,False,,2004
2004-01-09,5.8500000000000005,42.299999999999976,37.88628472222221,37.6,,-7.090416666666667,4.766666666666667,46.77083333333332,21.029166666666665,,139.45833333333334,1.7725,,,43.27083333333334,37.26250000000001,-6.737916666666666,0.0,41.82083333333331,42.34166666666665,1.866944444444444,4.004166666666666,28.629166666666663,-8.295416666666666,1.76625,,4.727083333333334,36.81249999999998,-2.75,-7.511666666666666,92.39166666666668,2.0620833333333333,44.49583333333334,,-7.408854166666668,4.004166666666666,0.0,96.08333333333336,93.88749999999996,64.28750000000001,95.78749999999998,91.28750000000002,278.1625,30.424999999999983,39.47916666666666,257.3125,4.6875,-12.995,-4.137499999999998,0.0,0.0,0.0,0.0,0.0,119.90688460839748,8.731250000000001,8.600000000000001,1.2428857715430874,5.875224615898469,0.8045791680103184,4.976721776887113,10.851946392785583,1.0152616279069766,0.8777353805237518,0.1373679003728095,0.1707326088401133,0.5,0.3,0.0,0.5691086961337113,0.5227542698510349,0.1568262809553104,False,,2004
2004-01-10,2.15,42.29583333333331,37.764496527777794,65.8875,,-5.792083333333332,,46.81249999999998,21.0,,171.45833333333334,1.6608333333333327,,,43.2625,37.16666666666668,-5.184583333333332,0.0,41.75000000000001,42.279166666666654,1.7727777777777778,4.783333333333333,27.504166666666663,-7.8604166666666675,1.6137499999999996,,7.993750000000001,36.79166666666666,-3.3875000000000006,-6.621250000000002,89.925,2.0437500000000006,44.48749999999999,,-6.364583333333332,4.235416666666667,0.0,93.33750000000002,91.11562499999998,101.075,93.1625,88.03750000000002,282.6166666666666,30.40416666666665,39.41249999999999,249.57916666666665,5.325000000000004,-14.7975,2.1725,0.0,0.0,0.0,0.0,0.0,120.7058865012072,12.229166666666668,5.5375000000000005,1.2428857715430874,9.935318136272556,0.8045791680103184,5.264139111556451,15.199457247829008,2.208427389014296,0.8766796769307011,0.1454436028769914,0.1807697845777759,0.7,0.4,0.0,0.4519244614444397,0.5367033530870914,0.2146813412348365,False,,2004
