date,Rn,theta_6,theta_mean,sw_out,theta_14,TA_PI_F_1_2_1,H_1_1_1,theta_8,theta_3,theta_15,wd,WS_2_1_1,theta_24,WS_1_1_1,theta_16,theta_4,theta_23,theta_9,theta_22,TA_PI_F_1_1_1,P_PI_F_1_1_1,theta_21,theta_5,theta_17,theta_2,ws,LE_PI_F_1_1_1,theta_1,TA_PI_F_1_4_1,WS_1_3_1,theta_13,H,theta_11,G,TA_PI_F_1_3_1,RH_PI_F_1_3_1,WS_1_2_1,theta_12,LE_1_1_1,t_avg,theta_25,LE,P_PI_F_2_2_1,RH_PI_F_1_1_1,rh,sw_in,RH_PI_F_1_2_1,RH_PI_F_1_4_1,lw_out,theta_20,theta_19,theta_7,theta_18,theta_10,lw_in,H_PI_F_1_1_1,t_min,t_max,G_subday_gaps,H_subday_gaps,ppt,Rn_subday_gaps,LE_subday_gaps,rso,flux,energy,ebc_cf,H_corr,ebr_corr,LE_corr,flux_corr,ebr,ebr_5day_clim,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val,year
2006-01-01,28.98333333333333,33.42083333333333,34.22579166666666,15.5375,31.583333333333343,3.4854166666666657,8.633333333333335,27.0,38.05,41.17083333333335,73.83333333333333,4.392916666666666,,,30.91666666666667,25.79583333333333,,23.3,,3.7920833333333337,0.0333333333333333,,38.69166666666669,30.9875,33.04583333333334,4.538333333333333,8.704166666666667,29.72916666666665,3.4154166666666668,4.356249999999998,35.32916666666665,8.895833333333334,31.412500000000005,6.675,4.101666666666667,78.56250000000001,4.865833333333334,33.78333333333332,,3.698645833333333,,8.704166666666667,0.0375,77.77083333333333,79.24687499999997,73.09166666666667,78.91666666666666,81.73749999999998,325.45,40.87083333333332,37.89583333333332,38.54583333333334,40.5375,42.43749999999999,296.84583333333336,9.158333333333331,-0.5125,9.6675,0.0,0.0,0.8500000000000001,0.0,0.0,114.83472317594946,17.6,22.30833333333333,1.170294330517621,10.41074331522967,0.8544858963451529,10.186436901880464,20.59718021711013,0.7889428464699292,0.8722445994729039,0.3017493109582619,0.3531355078520526,1.2,0.8,1.7,0.4414193848150657,0.5215981407819735,0.4172785126255789,False,,2006
2006-01-02,13.008333333333333,37.71666666666667,35.692333333333345,4.170833333333332,31.56250000000001,0.3554166666666667,,27.050000000000008,38.07083333333335,41.17916666666668,292.25,4.956249999999999,,,35.6,25.79166666666667,,23.29583333333333,,0.6029166666666669,0.3833333333333333,,38.69583333333335,32.56249999999999,36.2375,5.077916666666667,15.095833333333337,37.61666666666665,0.2441666666666667,4.845416666666666,35.379166666666656,-2.6750000000000007,35.11666666666667,-2.587500000000001,0.7595833333333335,94.11666666666665,5.432083333333333,36.25833333333333,,0.4905208333333334,,16.39375,0.3916666666666666,92.425,94.0458333333333,24.19166666666668,93.25833333333333,96.38333333333334,311.8833333333333,40.87499999999998,37.899999999999984,39.954166666666666,40.558333333333344,42.43333333333332,304.8625,-2.6750000000000007,-1.145,1.4825,0.0,0.0,9.3,0.0,0.0,115.322149709623,13.71875,15.595833333333331,1.170294330517621,-3.1305373341346376,0.8544858963451529,19.18551268092325,16.054975346788613,0.8796419983970077,0.8740705788013258,0.5666038364886248,0.6630932574921706,1.2,0.8,2.6000001,0.8288665718652133,0.5306279160775697,0.4245023328620557,False,,2006
2006-01-03,18.008333333333336,36.53333333333333,35.347041666666655,11.645833333333336,31.58750000000001,1.2725000000000002,,27.425,38.08750000000001,41.15000000000003,183.4583333333333,3.59,,,34.02916666666666,25.754166666666663,,23.27083333333333,,1.6550000000000002,0.0,,38.683333333333344,32.65000000000001,35.808333333333344,3.6952777777777777,12.966666666666674,35.02916666666667,0.60875,3.5466666666666664,35.49166666666667,8.80625,33.99166666666667,0.533333333333334,1.33125,95.67083333333332,3.9491666666666654,35.895833333333314,,1.2168750000000002,,13.908333333333337,0.0,94.10416666666669,95.37395833333336,55.60416666666666,94.99583333333334,96.72500000000002,313.9041666666667,40.85833333333331,37.87499999999998,39.76250000000002,40.64583333333335,42.399999999999984,287.90833333333336,8.095833333333333,-1.7675,7.8599999999999985,0.0,0.0,0.0,0.0,0.0,115.8489181319264,22.714583333333334,17.475,1.136826119969628,10.011175018982536,0.8796419983970077,15.811356618577578,25.822531637560115,1.2998330948974728,0.8759858887669505,0.4810323975295219,0.546850194063174,1.5,0.90000004,0.0,0.6076112997319134,0.4867357969659421,0.4380622367387797,False,,2006
2006-01-04,19.48333333333333,35.88749999999999,35.19679166666665,25.175,31.57500000000001,3.750833333333333,0.9166666666666672,27.71666666666665,38.204166666666666,41.15000000000001,313.5,4.72875,,,33.26666666666667,25.77499999999999,,23.28333333333333,,4.187083333333334,0.0,,38.66666666666668,32.36666666666665,35.37499999999998,4.866944444444445,15.879166666666665,34.12083333333333,3.2245833333333334,4.582916666666667,35.774999999999984,1.087499999999998,33.612500000000004,2.354166666666666,3.92,79.17916666666666,5.289166666666668,35.63750000000001,16.63333333333333,3.770625,,16.256249999999998,0.0,75.95416666666667,78.83958333333331,110.125,77.57916666666667,82.64583333333331,322.59583333333336,40.86666666666665,37.88333333333332,39.59166666666668,40.78333333333333,42.39166666666665,257.14166666666665,1.258333333333331,-0.2525,11.4475,0.0,0.0,0.0,0.0,0.0,116.41493660901187,17.343749999999996,17.12916666666667,1.170294330517621,1.2726950844379104,0.8544858963451529,19.024597210477072,20.297292294914985,1.012527365604475,0.8742172453839797,0.5635975195008962,0.6595749817656932,2.1000001,1.3000001,0.0,0.5073653315608923,0.4608196812794527,0.5990656317452566,False,,2006
2006-01-05,-19.5625,35.441666666666656,35.071874999999984,12.691666666666665,31.595833333333346,-0.6737500000000001,-8.7375,27.82083333333333,38.36666666666665,41.14166666666668,332.5416666666667,3.81875,,,32.679166666666674,25.78333333333333,,23.27083333333333,,-0.2016666666666667,0.0,,38.67083333333334,32.12083333333334,35.04583333333333,3.9345833333333338,5.833333333333332,33.44583333333332,-1.075416666666667,3.725,36.00000000000001,-8.7375,33.12083333333334,-9.025,-0.3929166666666665,88.31249999999999,4.26,35.44999999999999,5.833333333333332,-0.5859375000000001,,5.833333333333332,0.0,85.825,88.07916666666667,52.90833333333333,87.06249999999999,91.11666666666667,302.7375,40.85833333333331,37.89166666666665,39.441666666666656,40.88333333333332,42.39166666666665,242.94583333333333,-8.7375,-2.9675,3.3925,0.0,0.0,0.0,0.0,0.0,117.0201039692614,-2.904166666666668,-10.537499999999998,1.2057929268682988,-10.53561569851176,0.829329794293298,7.033792073398407,-3.501823625113351,0.2756030051403718,0.8820859482565958,0.2014079858085296,0.2428563247027156,1.2,0.8,0.0,0.3035704058783945,0.4364071210929177,0.3491256968743342,False,,2006
2006-01-06,24.47499999999999,34.97083333333332,34.94645833333332,25.72916666666667,31.60000000000001,-0.5708333333333339,14.862499999999995,27.887499999999992,38.45833333333333,41.120833333333344,243.91666666666663,2.831666666666667,,,32.22916666666668,25.79166666666666,,23.27083333333333,,0.19,0.0,,38.675000000000026,31.91666666666665,34.745833333333344,2.9211111111111108,10.3625,32.84999999999999,-2.142916666666667,2.806666666666667,36.09583333333335,14.862499999999995,32.787500000000016,-6.920833333333333,-1.2145833333333331,81.50833333333333,3.125,35.175000000000004,,-0.934583333333333,,11.175,0.0,77.35416666666666,80.82291666666666,98.2625,79.32083333333334,85.1083333333333,300.025,40.833333333333314,37.87499999999998,39.337499999999984,40.89583333333332,42.399999999999984,251.92500000000004,14.862499999999995,-8.035,8.77,0.0,0.0,0.0,0.0,0.0,117.6643093854944,26.037499999999994,31.395833333333325,1.136826119969628,16.896078208048593,0.8796419983970077,12.704031890660591,29.600110098709184,0.829329794293298,0.8798463656123429,0.3857132762447663,0.4384889272541109,1.8000001,1.1,0.0,0.3986262975037372,0.3682002298417811,0.4050202528259593,False,,2006
2006-01-07,5.625000000000004,34.770833333333336,34.86341666666667,16.04583333333333,31.60000000000001,2.9129166666666664,,27.88333333333333,38.5,41.100000000000016,,1.8433333333333333,,,32.00416666666666,25.79166666666666,,23.254166666666663,,3.796250000000001,0.0,,38.64583333333335,31.733333333333345,34.504166666666656,1.935555555555556,4.516666666666667,32.58750000000001,1.5704166666666668,1.83,36.08750000000001,2.395833333333333,32.629166666666684,-1.6166666666666671,2.6808333333333336,77.925,2.1333333333333333,34.95416666666666,,2.7401041666666663,,4.516666666666667,0.0,73.02083333333334,77.38125,71.96666666666667,75.975,82.60416666666666,314.8958333333333,40.79583333333332,37.89166666666665,39.237500000000026,40.899999999999984,42.38333333333332,264.6083333333333,3.2041666666666657,-3.3075,10.9525,0.0,0.0,0.0,0.0,0.0,118.34743204539376,6.9125,7.241666666666671,1.1490926066727645,2.753034370153498,0.8702518789112507,5.190068273471987,7.943102643625486,0.954545454545454,0.8771194587089465,0.1564382484624911,0.1797620347090855,2.2,1.3000001,0.0,0.1382784776009521,0.3335280225607731,0.4335864626818073,False,,2006
2006-01-08,6.383333333333334,34.65416666666668,34.82183333333332,9.949999999999998,31.60000000000001,0.2170833333333332,1.9500000000000004,27.86666666666666,38.5,41.08750000000001,281.2083333333333,4.270833333333334,,,31.92083333333332,25.79166666666666,,23.22083333333333,,0.8733333333333334,0.0,,38.64583333333335,31.62916666666668,34.39166666666665,4.379166666666666,6.7333333333333325,32.47499999999999,-0.3245833333333333,4.167083333333333,36.058333333333344,1.9500000000000004,32.59166666666668,-2.6333333333333333,0.38625,90.45833333333331,4.699583333333334,34.84999999999998,,0.2880208333333333,,4.04375,0.0,88.34583333333335,90.2125,42.90000000000001,89.59999999999997,92.44583333333334,307.9000000000001,40.81249999999998,37.88749999999999,39.17500000000001,40.899999999999984,42.36666666666665,281.33750000000003,1.9500000000000004,-4.132499999999999,2.4175,0.0,0.0,0.0,0.0,0.0,119.06934081197836,5.99375,9.016666666666666,1.16162669447341,2.2651720542231497,0.8608617594254936,4.697327945776852,6.962500000000002,0.6647412199630315,0.8776621209164651,0.1397341149939528,0.1623188781055927,0.8,0.6,0.0,0.2705314635093213,0.291521631866486,0.1749129791198916,False,,2006
2006-01-09,-3.0208333333333317,34.52916666666667,34.789333333333325,6.458333333333332,31.60000000000001,-1.1833333333333331,,27.89166666666665,38.520833333333336,41.11250000000001,,3.2583333333333333,,,31.80416666666666,25.774999999999995,,23.199999999999992,,-0.7062500000000002,0.0,,38.612500000000026,31.558333333333334,34.2875,3.344861111111112,7.012500000000002,32.31250000000001,-1.4491666666666667,3.2120833333333327,36.05,2.583333333333336,32.525,-5.191666666666666,-0.8108333333333332,77.4875,3.5641666666666665,34.78333333333333,,-1.0373958333333333,,7.012500000000002,0.0,75.0375,77.67291666666667,29.941666666666677,76.32499999999997,81.84166666666665,303.82083333333327,40.837499999999984,37.899999999999984,39.17083333333336,40.91249999999999,42.39583333333332,277.32916666666665,2.583333333333336,-5.32,0.8225,0.0,0.0,0.0,0.0,0.0,119.8298938760073,9.595833333333337,2.1708333333333365,1.16162669447341,3.0008689607229777,0.8608617594254936,8.145907194994788,11.146776155717768,4.420345489443373,0.8747464521738284,0.24201808362647,0.2811346664858056,1.3000001,0.8,0.0,0.3514183331072569,0.2992497406967978,0.2393997925574382,False,,2006
2006-01-10,29.52916666666667,34.37499999999998,34.71745833333333,27.029166666666665,31.60000000000001,-3.08625,25.008333333333336,27.87916666666665,38.520833333333336,41.08333333333334,180.4583333333333,2.6108333333333333,,,31.59166666666667,25.75833333333333,,23.204166666666666,,-1.929166666666667,0.0,,38.59166666666668,31.47083333333333,34.14166666666667,2.7405555555555554,9.4375,31.96249999999998,-3.903750000000001,2.6108333333333333,36.025,25.35416666666667,32.35833333333332,-7.470833333333332,-3.170833333333333,78.27499999999998,3.0,34.66666666666668,8.466666666666667,-3.022499999999998,,8.952083333333334,0.0,74.33750000000002,77.59895833333333,119.6,76.64166666666667,81.14166666666667,290.7916666666667,40.80833333333332,37.87499999999998,39.13750000000001,40.91666666666665,42.36666666666665,227.76666666666668,25.7,-9.48,6.2125,0.0,0.0,0.0,0.0,0.0,120.62893840224017,34.30625000000001,37.00000000000001,1.183297831301761,30.00153043113007,0.8450957768593959,10.592980793965976,40.59451122509604,0.927195945945946,0.8724044349643306,0.3083803917424741,0.3649058487648572,1.7,1.0,0.0,0.3649058487648572,0.2858812048010071,0.2858812048010071,False,,2006
2006-01-11,17.991666666666674,34.15000000000001,34.63062500000001,22.20833333333333,31.60000000000001,3.4233333333333333,9.291666666666664,27.83749999999999,38.50833333333333,41.04583333333334,186.625,2.509583333333333,,,31.33749999999999,25.725000000000005,,23.199999999999992,,4.144583333333332,0.0,,38.59166666666668,31.387499999999985,33.95833333333332,2.650416666666666,7.474999999999999,31.6125,2.430416666666667,2.509583333333333,35.94583333333332,9.408333333333331,32.18750000000001,-2.654166666666667,3.2833333333333337,68.95,2.9320833333333343,34.516666666666666,,3.3204166666666666,,7.418749999999997,0.0,64.35416666666667,68.20833333333331,98.34999999999998,66.7,72.82916666666667,318.725,40.79166666666665,37.87499999999999,39.058333333333344,40.90833333333333,42.362499999999976,260.5875,9.525,-5.3125,14.23,0.0,0.0,0.0,0.0,0.0,121.46631017150676,16.82708333333333,20.645833333333343,1.16162669447341,10.928971150503996,0.8608617594254936,8.617818039624607,19.54678919012861,0.8150353178607462,0.8709102347806844,0.2570953618766652,0.2986488353812357,2.2,1.4,0.0,0.2133205967008826,0.3000179269838455,0.4200250977773837,False,,2006
2006-01-12,30.11666666666667,34.12083333333335,34.61533333333333,21.925,31.60000000000001,3.804166666666666,5.500000000000004,27.8,38.5,41.04583333333334,295.5,5.147083333333334,,,31.295833333333324,25.700000000000006,,23.199999999999992,,4.762499999999998,0.0041666666666666,,38.58750000000001,31.308333333333326,33.86666666666665,5.2844444444444445,13.0875,31.616666666666685,2.5895833333333336,5.02875,35.90416666666665,6.466666666666666,32.29583333333333,4.520833333333335,3.754583333333333,73.97916666666666,5.677500000000001,34.46666666666666,,3.7277083333333336,,11.122916666666669,0.0083333333333333,69.11666666666667,73.12916666666669,97.35416666666669,71.19583333333334,78.225,320.7416666666667,40.79166666666665,37.879166666666656,39.0375,40.899999999999984,42.37499999999999,275.425,7.433333333333333,-3.5125,12.02,0.0,0.0,0.15,0.0,0.0,122.34183322056025,17.589583333333334,25.59583333333333,1.2057929268682988,7.797460927081664,0.829329794293298,13.41193424281218,21.209395169893845,0.6872049487221227,0.8702949695254936,0.3856112798505844,0.4649673537644668,2.0,1.3000001,0.0,0.3576671676905769,0.2957229638953418,0.3844398826362408,False,,2006
2006-01-13,25.225000000000005,34.11250000000002,34.61791666666667,23.32083333333334,31.60000000000001,-0.2237499999999998,22.816666666666663,27.82083333333333,38.5,41.06250000000001,294.75,5.463333333333334,,,31.299999999999997,25.700000000000006,,23.199999999999992,,0.5050000000000001,0.0041666666666666,,38.59583333333335,31.295833333333324,33.80416666666665,5.566944444444443,11.720833333333331,31.608333333333345,-1.285,5.319583333333333,35.90416666666665,22.816666666666663,32.354166666666664,-4.945833333333334,-0.4129166666666666,73.9,,34.4875,11.720833333333331,-0.3541666666666667,,11.720833333333331,0.0,70.68749999999999,73.30833333333334,103.09999999999998,72.27916666666665,76.36666666666667,304.1708333333333,40.7875,37.86666666666665,39.06666666666668,40.91666666666665,42.362499999999976,249.61666666666667,22.816666666666663,-6.7775,4.6125,0.0,0.0,0.05,0.0,0.0,123.255319481694,34.537499999999994,30.17083333333333,1.2057929268682988,27.51217528137835,0.829329794293298,14.13289793033552,41.64507321171385,1.144731390691893,0.8726682063649988,0.4047747030999406,0.4880744739731241,2.5,1.6,0.0,0.3050465462332025,0.2868299921213229,0.4589279873941167,False,,2006
