id_x,AWATER,LSAD,CBSAFP,STATEFP,COUNTYFP,NAMELSAD,ALAND,County,County_1,District_C,Mean_Yield,Min_Yield_,Max_Yield_,Std_Dev_Yi,Mean_Yie_1,Min_Yield1,Max_Yield1,Std_Dev__1,Unit,Shape_Leng,Shape_Area,mean_grain_yield_B,mean_yield_run_2003,mean_yield_run_2004,mean_yield_run_2005,mean_yield_run_2006,mean_yield_run_2002,STD_2002_2006_B
000000000000000001e9,36091878.0,06,23340,31,053,Dodge County,1370269386.0,DODGE,DODGE,60,3.483596912,47,58,4.494441011,3.483596912,3.160792565,3.900552527,0.302255228,Tons/Ha,1.83744111837,0.151837782404,3.5746335848857145,3.6254339560357143,3.503215693619048,3.3856651597619045,3.733419158976191,3.6254339560357143,0.13340145692977645
000000000000000001ea,22114716.0,06,36540,31,025,Cass County,1443537069.0,CASS,CASS,60,3.685349629,48,64,6.140032573,3.685349629,3.228043471,4.304057961,0.412922751,Tons/Ha,1.8721342733,0.156650008548,3.582926064448718,3.4699019842948715,3.9051876332564106,3.36387856524359,3.705760155153846,3.4699019842948715,0.21935782688738145
000000000000000001eb,33504648.0,06,36540,31,055,Douglas County,845399826.0,DOUGLAS,DOUGLAS,60,3.133892203,41,51,4.827007354,3.133892203,2.757287131,3.429796188,0.324620616,Tons/Ha,1.63618705702,0.0944820772535,3.628708906552941,3.6482863088823527,3.769444857,3.3488265327058824,3.728700525294118,3.6482863088823527,0.16500426064265575
000000000000000001ec,24272921.0,06,36540,31,153,Sarpy County,616811568.0,SARPY,SARPY,60,3.510497274,47,57,3.701351105,3.510497274,3.160792565,3.833301622,0.248919214,Tons/Ha,1.322017289,0.0687292428428,3.58878042133913,3.5336049364347826,3.8602627940869563,3.3164470966086954,3.699982343130435,3.5336049364347826,0.20391337263067205
000000000000000001ed,24688496.0,06,36540,31,155,Saunders County,1943236717.0,SAUNDERS,SAUNDERS,60,3.658449267,50,60,4.5607017,3.658449267,3.362545282,4.035054338,0.30671132,Tons/Ha,2.0001983216,0.211335304793,3.600294905025641,3.568632760923077,3.670303947410256,3.4434779820341883,3.750427073837607,3.568632760923077,0.11622979846262071
000000000000000001ee,8388605.0,06,36540,31,177,Washington County,1009985080.0,WASHINGTON,WASHINGTON,60,3.093541659,40,54,5.477225575,3.093541659,2.690036226,3.631548905,0.36834838,Tons/Ha,1.69861770671,0.109869229245,3.5992484113933334,3.65769855885,3.6025190463166665,3.3408318224499998,3.7374940705,3.65769855885,0.15226172551823255
0000000000000000068a,22832516.0,06,30700,31,109,Lancaster County,2169287528.0,LANCASTER,LANCASTER,60,3.483596912,47,55,3.563705936,3.483596912,3.160792565,3.69879981,0.239662452,Tons/Ha,1.94361054532,0.233863823416,3.506141884428333,3.3217643020166667,3.8096638818583335,3.444092712133333,3.6334242241166668,3.3217643020166667,0.2122302302305622
0000000000000000068b,11542537.0,06,30700,31,159,Seward County,1479995670.0,SEWARD,SEWARD,60,3.967803433,55,62,3.31662479,3.967803433,3.69879981,4.16955615,0.223046021,Tons/Ha,1.61146959505,0.159332209524,3.5370407447840906,3.3523127206022725,3.7431121207499998,3.532229435693182,3.7052367262727275,3.3523127206022725,0.18643184727455633
00000000000000000ad5,5947393.0,06,,31,143,Polk County,1135309851.0,POLK,POLK,60,3.752600535,49,61,4.604345773,3.752600535,3.295294376,4.102305244,0.309646423,Tons/Ha,1.49729503404,0.122485427132,3.565775473617143,3.356605628185714,3.5995669703,3.6008598101428575,3.9152393312714286,3.356605628185714,0.2302182726239099
00000000000000000aee,17085959.0,06,,31,125,Nance County,1143826229.0,NANCE,NANCE,60,3.604648542,49,61,5.504543578,3.604648542,3.295294376,4.102305244,0.370185541,Tons/Ha,1.69848853886,0.124990600935,3.512227558416438,3.379433015109589,3.3936038292328767,3.47845905760274,3.9302088750273976,3.379433015109589,0.23727044868282698
