Month,FlexNet_MJ_m2,GridMET_MJ_m2
1,224.28972,234.22738853759768
2,348.81444,267.4877904052735
3,420.99912,426.3135963134766
4,525.19104,548.3020669189453
5,708.13404,646.8838776123048
6,757.51524,762.7012839843751
7,765.6084,798.5180548828125
8,598.15152,611.7230729003907
9,477.24912,513.2221402587891
10,338.94864,356.33414696044923
11,260.32608,260.9935188354492
12,196.7688,201.87541933593752
