Month,FlexNet_MJ_m2,GridMET_MJ_m2
1,213.10848000000001,213.86770252075198
2,293.985,248.13029432373048
3,446.61384,429.32776069335944
4,538.49088,561.0873084960938
5,712.75248,662.7171884765626
6,728.93052,745.9872859863282
7,789.4368,801.0081496582031
8,615.32496,622.9916033203125
9,509.67936000000003,562.3082687988282
10,395.48807999999997,377.1920579589844
11,252.82548,245.88731480712892
12,212.60664,199.43964492187501
