County,District Code,Mean Yield (2002-2006),Min Yield (2002-2006),Max Yield (2002-2006),Std Dev Yield (2002-2006),Mean Yield (2002-2006) in Tons/Ha,Min Yield (2002-2006) in Tons/Ha,Max Yield (2002-2006) in Tons/Ha,Std Dev Yield (2002-2006) in Tons/Ha,Unit
CLAY,90,58.8,55,65,4.494441011,3.954353252,3.69879981,4.371308867,0.302255228,Tons/Ha
FILLMORE,90,57.4,53,64,4.159326869,3.860201984,3.564297999,4.304057961,0.279718499,Tons/Ha
GAGE,90,52.0,48,55,3.240370349,3.497047093,3.228043471,3.69879981,0.217917841,Tons/Ha
JEFFERSON,90,53.6,46,59,4.827007354,3.604648542,3.093541659,3.967803433,0.324620616,Tons/Ha
JOHNSON,90,51.6,47,56,3.209361307,3.470146731,3.160792565,3.766050716,0.215832454,Tons/Ha
NEMAHA,90,52.4,45,58,6.426507605,3.523947456,3.026290754,3.900552527,0.432188457,Tons/Ha
NUCKOLLS,90,56.2,53,60,3.1144823,3.779500897,3.564297999,4.035054338,0.209451755,Tons/Ha
OTOE,90,51.0,42,56,5.830951895,3.429796188,2.824538037,3.766050716,0.392136796,Tons/Ha
PAWNEE,90,54.0,50,58,4.0,3.631548905,3.362545282,3.900552527,0.269003623,Tons/Ha
RICHARDSON,90,61.33333333,60,62,1.154700538,4.124722213,4.035054338,4.16955615,0.077654657,Tons/Ha
SALINE,90,55.8,52,59,2.774887385,3.752600535,3.497047093,3.967803433,0.18661369,Tons/Ha
THAYER,90,55.6,52,60,3.286335345,3.739150354,3.497047093,4.035054338,0.221009028,Tons/Ha
